date,cpim191406,cpim193908,cpim196609,cpim197709,cpim198212,cpim199305,cpim200005,cpim200512,cpim201012,ccpim
7672,215.70,,,,,,,,,
7703,213.20,,,,,,,,,-1.20
7731,210.30,,,,,,,,,-1.40
7762,208.20,,,,,,,,,-1.00
7792,203.30,,,,,,,,,-2.40
7823,199.50,,,,,,,,,-1.90
7853,197.50,,,,,,,,,-1.00
7884,196.60,,,,,,,,,-0.50
7915,194.30,,,,,,,,,-1.20
7945,192.20,,,,,,,,,-1.10
7976,188.40,,,,,,,,,-2.00
8006,183.80,,,,,,,,,-2.40
8037,183.20,,,,,,,,,-0.30
8068,175.80,,,,,,,,,-4.00
8096,168.70,,,,,,,,,-4.00
8127,163.60,,,,,,,,,-3.00
8157,159.50,,,,,,,,,-2.50
8188,159.20,,,,,,,,,-0.20
8218,159.60,,,,,,,,,0.30
8249,158.30,,,,,,,,,-0.80
8280,158.40,,,,,,,,,0.10
8310,159.60,,,,,,,,,0.80
8341,160.70,,,,,,,,,0.70
8371,160.60,,,,,,,,,-0.10
8402,160.90,,,,,,,,,0.20
8433,159.60,,,,,,,,,-0.80
8461,160.40,,,,,,,,,0.50
8492,161.70,,,,,,,,,0.80
8522,163.20,,,,,,,,,0.90
8553,164.70,,,,,,,,,0.90
8583,164.70,,,,,,,,,0.00
8614,164.70,,,,,,,,,0.00
8645,164.80,,,,,,,,,0.10
8675,165.30,,,,,,,,,0.30
8706,167.50,,,,,,,,,1.30
8736,168.30,,,,,,,,,0.50
8767,169.00,,,,,,,,,0.40
8798,168.20,,,,,,,,,-0.50
8827,168.20,,,,,,,,,0.00
8858,167.40,,,,,,,,,-0.50
8888,167.10,,,,,,,,,-0.20
8919,167.60,,,,,,,,,0.30
8949,168.10,,,,,,,,,0.30
8980,168.00,,,,,,,,,-0.10
9011,168.20,,,,,,,,,0.10
9041,170.80,,,,,,,,,1.50
9072,171.50,,,,,,,,,0.40
9102,171.10,,,,,,,,,-0.20
9133,169.70,,,,,,,,,-0.80
9164,169.60,,,,,,,,,-0.10
9192,169.30,,,,,,,,,-0.20
9223,168.30,,,,,,,,,-0.60
9253,168.00,,,,,,,,,-0.20
9284,168.10,,,,,,,,,0.10
9314,167.90,,,,,,,,,-0.10
9345,168.00,,,,,,,,,0.10
9376,168.40,,,,,,,,,0.20
9406,167.30,,,,,,,,,-0.70
9437,167.20,,,,,,,,,-0.10
9467,166.80,,,,,,,,,-0.20
9498,165.80,,,,,,,,,-0.60
9529,164.30,,,,,,,,,-0.90
9557,163.40,,,,,,,,,-0.50
9588,162.00,,,,,,,,,-0.90
9618,161.80,,,,,,,,,-0.10
9649,161.70,,,,,,,,,-0.10
9679,161.60,,,,,,,,,-0.10
9710,160.80,,,,,,,,,-0.50
9741,161.10,,,,,,,,,0.20
9771,161.40,,,,,,,,,0.20
9802,161.00,,,,,,,,,-0.20
9832,160.90,,,,,,,,,-0.10
9863,160.20,,,,,,,,,-0.40
9894,159.70,,,,,,,,,-0.30
9922,158.80,,,,,,,,,-0.60
9953,158.00,,,,,,,,,-0.50
9983,159.60,,,,,,,,,1.00
10014,160.40,,,,,,,,,0.50
10044,160.00,,,,,,,,,-0.20
10075,159.80,,,,,,,,,-0.10
10106,161.20,,,,,,,,,0.90
10136,161.50,,,,,,,,,0.20
10167,162.30,,,,,,,,,0.50
10197,162.00,,,,,,,,,-0.20
10228,161.30,,,,,,,,,-0.40
10259,160.60,,,,,,,,,-0.40
10288,159.80,,,,,,,,,-0.50
10319,160.10,,,,,,,,,0.20
10349,160.40,,,,,,,,,0.20
10380,160.80,,,,,,,,,0.20
10410,161.10,,,,,,,,,0.20
10441,160.60,,,,,,,,,-0.30
10472,161.00,,,,,,,,,0.20
