Date,Selbststaendige,Mitarbeitende Familienmitglieder,Arbeitnehmer,Lehrlinge
31/12/1991,54000,26800,48000,8000
31/12/1992,57500,24000,54200,9800
31/12/1993,58500,27200,55900,9400
31/12/1994,55200,26200,57200,9500
31/12/1995,60000,13900,58500,9800
31/12/1996,59700,21600,58500,9500
31/12/1997,59700,22500,57400,9900
31/12/1998,59700,27500,58500,9400
31/12/1999,59700,23700,58500,10400
31/12/2000,60000,20500,59600,10400
31/12/2001,60000,20900,60800,10900
31/12/2002,60000,26600,61300,10700
31/12/2003,60000,24000,62400,10800
31/12/2004,62100,26500,62400,11500
31/12/2005,60000,29800,63000,11100
31/12/2006,60000,33900,63800,11100
31/12/2007,60000,29300,65000,11400
31/12/2008,61100,22000,65000,11100
31/12/2009,62400,30000,67300,11600
31/12/2010,62500,30000,66200,11600
31/12/2011,60000,32500,66800,11700
31/12/2012,66000,32500,67500,12000
31/12/2013,65000,34400,67700,12000
31/12/2014,66400,35000,68200,12200
