BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],1999,45900,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2000,47900,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2001,49700,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2002,49800,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2003,49400,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2004,49300,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2005,49800,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2006,50000,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2007,51300,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2008,52000,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2009,53000,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2010,52900,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2011,53300,Fr.,Franken
0,Bezirk Affoltern,Bevölkerung und Soziales,Einkommen und Vermögen,Steuerbares Einkommen,316,Steuerb. Einkommen natürl. Pers. Median [Fr.],2012,53400,Fr.,Franken
