Bilanz der ständigen Wohnbevölkerung 1983 - Ausländer,,,,,,,,,,,,,Quelle: BFS/ESPOP
Bilan de la population résidante permanente en 1983 - étrangers,,,,,,,,,,,,,Source: OFS/ESPOP
T4.1,,Bilanz der ständigen Wohnbevölkerung 1983,,,,,,,,,,Veränderung,
KANTONE/BEZIRKE/GEMEINDEN,,Bilan de la population résidante permanente en 1983,,,,,,,,,,Variation,
CANTONS/DISTRICTS/COMMUNES,,Bevölke-,Lebend-,Todes-,Ge-,Zuwan-,Abwan-,Wande-,Erwerb,Bestan-,Bevölke-,absolut,in %
,,rungsstand,geburten,fälle,burten-,derungen,derungen,rungs-,Schweiz.,des-,rungsstand,,
,,am,,,über-,,,saldo,Bürger-,bereini-,am,,
,,1/1/1983,,,schuss,,,,recht,gungen,31/12/1983,,
,,Etat de la,Nais-,Déces,Accrois-,Arrivées,Départs,Solge,Acquis.,Diver-,Etat de la,en valeur,en %
,,population,sances,,sement,,,migra-,national.,gences,population,absolue,
,,au 1er janv.,,,naturel,,,toire,suisse,statis-,au 31 déc.,,
,,1983,,,,,,,,tiques,1983,,
,8/23/2007,1,2,3,4,5,6,7,8,9,10,11,12
SCHWEIZ / SUISSE,, 946 931, 11 742, 3 701, 8 041, 118 125, 114 679, 3 446,- 11 831,-, 946 587,-  344,-
Kanton Zürich,, 188 800, 2 255,  672, 1 583, 20 162, 21 302,- 1 140,- 2 104,-, 187 139,- 1 661,-0.9
Bezirk Affoltern,, 3 570,  45,  7,  38,  389,  436,-  47,-  40,-, 3 521,-  49,-1.4
   1 Aeugst am Albis,,  35,  2,-,  2,  3,  6,-  3,-  1,-,  33,-  2,-5.7
   2 Affoltern am Albis,, 1 497,  18,  2,  16,  131,  133,-  2,-  14,-, 1 497,-,-
   3 Bonstetten,,  203,  2,  1,  1,  20,  17,  3,-  2,-,  205,  2,1.0
   4 Hausen am Albis,,  224,  2,-,  2,  26,  41,-  15,-  3,-,  208,-  16,-7.1
   5 Hedingen,,  293,  2,-,  2,  25,  53,-  28,-  3,-,  264,-  29,-9.9
   6 Kappel am Albis,,  22,-,-,-,  2,  3,-  1,-,-,  21,-  1,-4.5
   7 Knonau,,  68,  1,-,  1,  7,  12,-  5,-,-,  64,-  4,-5.9
   8 Maschwanden,,  5,  1,-,  1,  8,  4,  4,-,-,  10,  5,100.0
   9 Mettmenstetten,,  236,  2,  1,  1,  30,  31,-  1,-  6,-,  230,-  6,-2.5
  10 Obfelden,,  406,  6,  1,  5,  46,  35,  11,-  9,-,  413,  7,1.7
  11 Ottenbach,,  113,  1,  1,-,  25,  17,  8,-,-,  121,  8,7.1
  12 Rifferswil,,  14,  1,-,  1,  2,  1,  1,-,-,  16,  2,14.3
  13 Stallikon,,  129,  2,  1,  1,  40,  40,-,-  1,-,  129,-,-
  14 Wettswil am Albis,,  325,  5,-,  5,  24,  43,-  19,-  1,-,  310,-  15,-4.6
Bezirk Andelfingen,, 1 455,  20,  9,  11,  186,  196,-  10,-  38,-, 1 418,-  37,-2.5
  21 Adlikon,,  12,-,-,-,-,  1,-  1,-,-,  11,-  1,-8.3
  22 Benken (ZH),,  4,-,-,-,  1,-,  1,-,-,  5,  1,25.0
  23 Berg am Irchel,,  14,-,-,-,  2,  2,-,-,-,  14,-,-
  24 Buch am Irchel,,  4,-,-,-,  3,  1,  2,-,-,  6,  2,50.0
  25 Dachsen,,  80,-,-,-,  5,  8,-  3,-,-,  77,-  3,-3.8
  26 Dorf,,  14,-,-,-,  3,  2,  1,-,-,  15,  1,7.1
  27 Feuerthalen,,  410,  6,  3,  3,  31,  59,-  28,-  6,-,  379,-  31,-7.6
  28 Flaach,,  27,-,  1,-  1,  5,  2,  3,-,-,  29,  2,7.4
  29 Flurlingen,,  181,  1,  1,-,  18,  32,-  14,-  12,-,  155,-  26,-14.4
  30 Andelfingen,,  167,  3,-,  3,  16,  19,-  3,-  5,-,  162,-  5,-3.0
  31 Henggart,,  42,  1,  1,-,  10,  3,  7,-  1,-,  48,  6,14.3
  32 Humlikon,,  11,-,-,-,  2,  1,  1,-,-,  12,  1,9.1
  33 Kleinandelfingen,,  97,  1,-,  1,  20,  14,  6,-,-,  104,  7,7.2
  34 Laufen-Uhwiesen,,  49,  1,-,  1,  2,  6,-  4,-,-,  46,-  3,-6.1
  35 Marthalen,,  27,  1,  1,-,  10,  4,  6,-  3,-,  30,  3,11.1
  36 Oberstammheim,,  42,-,-,-,  6,  3,  3,-  2,-,  43,  1,2.4
  37 Ossingen,,  34,-,-,-,  9,  3,  6,-  1,-,  39,  5,14.7
  38 Rheinau,,  153,  5,  1,  4,  16,  16,-,-  3,-,  154,  1,0.7
  39 Thalheim an der Thur,,  4,-,-,-,  3,-,  3,-,-,  7,  3,75.0
  40 Trüllikon,,  30,-,  1,-  1,  7,  9,-  2,-  4,-,  23,-  7,-23.3
  41 Truttikon,,  9,-,-,-,  1,  1,-,-,-,  9,-,-
  42 Unterstammheim,,  29,  1,-,  1,  12,  7,  5,-  1,-,  34,  5,17.2
