Bilanz der ständigen Wohnbevölkerung 1986,,,,,,,,,,,,Quelle: BFS/ESPOP
Bilan de la population résidante permanente en 1986,,,,,,,,,,,,Source: OFS/ESPOP
T4.1,,Bilanz der ständigen Wohnbevölkerung 1986,,,,,,,,,Veränderung,
KANTONE/BEZIRKE/GEMEINDEN,,Bilan de la population résidante permanente en 1986,,,,,,,,,Variation,
CANTONS/DISTRICTS/COMMUNES,,Bevölke-,Lebend-,Todes-,Ge-,Zuwan-,Abwan-,Wande-,Bestan-,Bevölke-,absolut,in %
,,rungsstand,geburten,fälle,burten-,derungen,derungen,rungs-,des-,rungsstand,,
,,am,,,über-,,,saldo,bereini-,am,,
,,1/1/1986,,,schuss,,,,gungen,31/12/1986,,
,,Etat de la,Nais-,Déces,Accrois-,Arrivées,Départs,Solge,Diver-,Etat de la,en valeur,en %
,,population,sances,,sement,,,migra-,gences,population,absolue,
,,au 1er janv.,,,naturel,,,toire,statis-,au 31 déc.,,
,,1986,,,,,,,tiques,1986,,
,8/23/2007,1,2,3,4,5,6,7,8,9,10,11
SCHWEIZ / SUISSE,,6 484 834, 76 320, 60 105, 16 215, 489 542, 467 178, 22 364,-,6 523 413, 38 579,  1
Kanton Zürich,,1 128 248, 12 398, 10 647, 1 751, 84 177, 82 692, 1 485,-,1 131 484, 3 236,  0
Bezirk Affoltern,, 32 512,  447,  189,  258, 2 485, 2 423,  62,-, 32 832,  320,  1
   1 Aeugst am Albis,, 1 008,  14,  4,  10,  59,  77,-  18,-, 1 000,-  8,-  1
   2 Affoltern am Albis,, 8 699,  116,  58,  58,  734,  664,  70,-, 8 827,  128,  2
   3 Bonstetten,, 2 536,  37,  9,  28,  178,  208,-  30,-, 2 534,-  2,-  0
   4 Hausen am Albis,, 2 490,  36,  16,  20,  177,  196,-  19,-, 2 491,  1,-
   5 Hedingen,, 1 978,  26,  17,  9,  125,  148,-  23,-, 1 964,-  14,-  1
   6 Kappel am Albis,,  627,  15,  3,  12,  26,  20,  6,-,  645,  18,  3
   7 Knonau,,  934,  17,  10,  7,  74,  69,  5,-,  946,  12,  1
   8 Maschwanden,,  483,  12,  2,  10,  32,  31,  1,-,  494,  11,  2
   9 Mettmenstetten,, 2 816,  40,  19,  21,  215,  178,  37,-, 2 874,  58,  2
  10 Obfelden,, 3 655,  46,  24,  22,  227,  254,-  27,-, 3 650,-  5,-  0
  11 Ottenbach,, 1 682,  31,  11,  20,  188,  102,  86,-, 1 788,  106,  6
  12 Rifferswil,,  584,  13,  2,  11,  41,  29,  12,-,  607,  23,  4
  13 Stallikon,, 1 594,  14,  8,  6,  221,  179,  42,-, 1 642,  48,  3
  14 Wettswil am Albis,, 3 426,  30,  6,  24,  188,  268,-  80,-, 3 370,-  56,-  2
