Bilanz der ständigen Wohnbevölkerung 1996,,,,,,,,,,,,Quelle: BFS/ESPOP,
Bilan de la population résidante permanente en 1996,,,,,,,,,,,,Source: OFS/ESPOP,
T4.1,,Bilanz der ständigen Wohnbevölkerung 1996,,,,,,,,,Veränderung,,
KANTONE/BEZIRKE/GEMEINDEN,,Bilan de la population résidante permanente en 1996,,,,,,,,,Variation,,
CANTONS/DISTRICTS/COMMUNES,,Bevölke-,Lebend-,Todes-,Ge-,Zuwan-,Abwan-,Wande-,Bestan-,Bevölke-,absolut,in %,
,,rungsstand,geburten,fälle,burten-,derungen,derungen,rungs-,des-,rungsstand,,,
,,am,,,über-,,,saldo,bereini-,am,,,
,,1/1/1996,,,schuss,,,,gungen,31/12/1996,,,
,,Etat de la,Nais-,Déces,Accrois-,Arrivées,Départs,Solge,Diver-,Etat de la,en valeur,en %,
,,population,sances,,sement,,,migra-,gences,population,absolue,,
,,au 1er janv.,,,naturel,,,toire,statis-,au 31 déc.,,,
,,1996,,,,,,,tiques,1996,,,
,8/23/2007,1,2,3,4,5,6,7,8,9,10,11,
SCHWEIZ / SUISSE,,7 062 354, 83 007, 62 637, 20 370, 528 972, 534 779,- 5 807, 4 429,7 081 346, 18 992,0.3,
Kanton Zürich,,1 175 457, 12 963, 10 804, 2 159, 91 300, 91 067,  233,  999,1 178 848, 3 391,0.3,
Bezirk Affoltern,, 38 623,  467,  224,  243, 3 681, 3 349,  332,  65, 39 263,  640,1.7,
   1 Aeugst am Albis,, 1 386,  14,  6,  8,  157,  123,  34,  3, 1 431,  45,3.2,
   2 Affoltern am Albis,, 9 351,  115,  68,  47,  822,  764,  58,-  5, 9 451,  100,1.1,
   3 Bonstetten,, 3 408,  55,  11,  44,  438,  347,  91,  18, 3 561,  153,4.5,
   4 Hausen am Albis,, 2 996,  49,  13,  36,  252,  245,  7,-  5, 3 034,  38,1.3,
   5 Hedingen,, 2 711,  42,  16,  26,  280,  220,  60,  5, 2 802,  91,3.4,
   6 Kappel am Albis,,  846,  6,  5,  1,  66,  59,  7,  1,  855,  9,1.1,
   7 Knonau,, 1 222,  13,  5,  8,  103,  106,-  3,  1, 1 228,  6,0.5,
   8 Maschwanden,,  521,  8,  5,  3,  37,  50,-  13,-  1,  510,-  11,-2.1,
   9 Mettmenstetten,, 3 261,  33,  26,  7,  322,  193,  129,  2, 3 399,  138,4.2,
  10 Obfelden,, 4 063,  57,  25,  32,  356,  370,-  14,  18, 4 099,  36,0.9,
  11 Ottenbach,, 2 218,  19,  9,  10,  232,  283,-  51,-  5, 2 172,-  46,-2.1,
  12 Rifferswil,,  699,  5,  5,-,  57,  59,-  2,  7,  704,  5,0.7,
