Bilanz der ständigen Wohnbevölkerung 2007 - Schweizer,,,,,,,,,,,,,Quelle: BFS/ESPOP
Bilan de la population résidante permanente en 2007 - Suisses,,,,,,,,,,,,,Source: OFS/ESPOP
T4.1,,Bilanz der ständigen Wohnbevölkerung 2007,,,,,,,,,,Veränderung,
KANTONE/BEZIRKE/GEMEINDEN,,Bilan de la population résidante permanente en 2007,,,,,,,,,,Variation,
CANTONS/DISTRICTS/COMMUNES,,Bevölke-,Lebend-,Todes-,Ge-,Zuwan-,Abwan-,Wande-,Erwerb,Bestan-,Bevölke-,absolut,in %
,,rungsstand,geburten,fälle,burten-,derungen,derungen,rungs-,Schweiz.,des-,rungsstand,,
,,am,,,über-,,,saldo,Bürger-,bereini-,am,,
,,1/1/2007,,,schuss,,,,recht,gungen,31/12/2007,,
,,Etat de la,Nais-,Décès,Accrois-,Arrivées,Départs,Solge,Acquis.,Diver-,Etat de la,en valeur,en %
,,population,sances,,sement,,,migra-,national.,gences,population,absolue,
,,au 1er janv.,,,naturel,,,toire,suisse,statis-,au 31 déc.,,
,,2007,,,,,,,,tiques,2007,,
,8/21/2008,1,2,3,4,5,6,7,8,9,10,11,12
SCHWEIZ / SUISSE,,5 954 212, 55 818, 56 465,-  647, 336 945, 344 653,- 7 708, 43 889, 1 655,5 991 401, 37 189,0.6
Kanton Zürich,, 998 574, 10 100, 9 346,  754, 59 834, 60 657,-  823, 9 008,  212,1 007 725, 9 151,0.9
Bezirk Affoltern,, 38 222,  331,  222,  109, 2 440, 2 400,  40,  273,-  13, 38 631,  409,1.1
   1 Aeugst am Albis,, 1 505,  12,  7,  5,  104,  78,  26,  7,-  5, 1 538,  33,2.2
   2 Affoltern am Albis,, 7 683,  52,  66,-  14,  511,  541,-  30,  122,-  1, 7 760,  77,1.0
   3 Bonstetten,, 4 106,  45,  12,  33,  333,  260,  73,  22,  6, 4 240,  134,3.3
   4 Hausen am Albis,, 2 925,  31,  19,  12,  129,  175,-  46,  8,  4, 2 903,-  22,-0.8
   5 Hedingen,, 2 858,  26,  16,  10,  156,  161,-  5,  21,-  4, 2 880,  22,0.8
   6 Kappel am Albis,,  788,  6,  5,  1,  48,  68,-  20,  1,  1,  771,-  17,-2.2
   7 Knonau,, 1 460,  10,  13,-  3,  154,  108,  46,  9,  7, 1 519,  59,4.0
   8 Maschwanden,,  550,  2,  3,-  1,  30,  34,-  4,-,  1,  546,-  4,-0.7
   9 Mettmenstetten,, 3 612,  36,  19,  17,  202,  189,  13,  3,-  5, 3 640,  28,0.8
  10 Obfelden,, 3 716,  29,  14,  15,  220,  223,-  3,  33,-  5, 3 756,  40,1.1
  11 Ottenbach,, 2 099,  12,  13,-  1,  123,  118,  5,  11,  2, 2 116,  17,0.8
  12 Rifferswil,,  763,  10,  3,  7,  42,  46,-  4,  1,-,  767,  4,0.5
  13 Stallikon,, 2 401,  25,  9,  16,  170,  155,  15,  15,-  13, 2 434,  33,1.4
  14 Wettswil am Albis,, 3 756,  35,  23,  12,  218,  244,-  26,  20,-  1, 3 761,  5,0.1
Bezirk Andelfingen,, 25 485,  246,  197,  49, 1 444, 1 378,  66,  84,-  9, 25 675,  190,0.7
  21 Adlikon,,  544,  8,  7,  1,  43,  42,  1,  1,  1,  548,  4,0.7
  22 Benken (ZH),,  696,  4,  9,-  5,  41,  55,-  14,  3,  2,  682,-  14,-2.0
  23 Berg am Irchel,,  541,  3,  3,-,  37,  21,  16,  1,-  2,  556,  15,2.8
  24 Buch am Irchel,,  783,  7,  5,  2,  53,  54,-  1,  4,  3,  791,  8,1.0
  25 Dachsen,, 1 606,  19,  18,  1,  95,  57,  38,  3,  5, 1 653,  47,2.9
  26 Dorf,,  587,  9,  7,  2,  31,  21,  10,  3,-,  602,  15,2.6
  27 Feuerthalen,, 2 627,  27,  23,  4,  162,  139,  23,  21,  1, 2 676,  49,1.9
  28 Flaach,, 1 095,  8,  9,-  1,  58,  58,-,-,  1, 1 095,-,-
  29 Flurlingen,, 1 216,  13,  8,  5,  55,  61,-  6,  3,-, 1 218,  2,0.2
  30 Andelfingen,, 1 524,  13,  14,-  1,  98,  97,  1,  5,-  2, 1 527,  3,0.2
  31 Henggart,, 1 758,  13,  10,  3,  84,  72,  12,  3,  2, 1 778,  20,1.1
  32 Humlikon,,  417,  4,  2,  2,  16,  25,-  9,  1,  6,  417,-,-
  33 Kleinandelfingen,, 1 821,  22,  7,  15,  123,  103,  20,  3,-  5, 1 854,  33,1.8
  34 Laufen-Uhwiesen,, 1 385,  11,  10,  1,  50,  66,-  16,  2,-  2, 1 370,-  15,-1.1
  35 Marthalen,, 1 699,  10,  8,  2,  101,  103,-  2,  5,-  2, 1 702,  3,0.2
  36 Oberstammheim,, 1 010,  16,  11,  5,  56,  61,-  5,  3,-  4, 1 009,-  1,-0.1
  37 Ossingen,, 1 218,  12,  14,-  2,  75,  71,  4,  1,-  1, 1 220,  2,0.2
  38 Rheinau,, 1 086,  7,  8,-  1,  59,  43,  16,  15,-  8, 1 108,  22,2.0
