Bilanz der ständigen Wohnbevölkerung 2009,,,,,,,,,,,,Quelle: BFS/ESPOP,,,,,,,,,,,
Bilan de la population résidante permanente en 2009,,,,,,,,,,,,Source: OFS/ESPOP,,,,,,,,,,,
T4.1,,Bilanz der ständigen Wohnbevölkerung 2009,,,,,,,,,Veränderung,,,,,,,,,,,,
KANTONE/BEZIRKE/GEMEINDEN,,Bilan de la population résidante permanente en 2009,,,,,,,,,Variation,,,,,,,,,,,,
CANTONS/DISTRICTS/COMMUNES,,Bevölke-,Lebend-,Todes-,Ge-,Zuwan-,Abwan-,Wande-,Bestan-,Bevölke-,absolut,in %,,,,,,,,,,,
,,rungsstand,geburten,fälle,burten-,derungen,derungen,rungs-,des-,rungsstand,,,,,,,,,,,,,
,,am,,,über-,,,saldo,bereini-,am,,,,,,,,,,,,,
,,01-01-09,,,schuss,,,,gungen,31-12-09,,,,,,,,,,,,,
,,Etat de la,Nais-,Décès,Accrois-,Arrivées,Départs,Solge,Diver-,Etat de la,en valeur,en %,,,,,,,,,,,
,,population,sances,,sement,,,migra-,gences,population,absolue,,,,,,,,,,,,
,,au 1er janv.,,,naturel,,,toire,statis-,au 31 déc.,,,,,,,,,,,,,
,,2009,,,,,,,tiques,2009,,,,,,,,,,,,,
,08-09-10,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,
SCHWEIZ / SUISSE,,7 701 856, 78 286, 62 476, 15 810, 594 089, 519 502, 74 587,- 6 447,7 785 806, 83 950,1.1,,,SCHWEIZ / SUISSE,TRUE,,,,,,,
Kanton Zürich,,1 332 727, 14 879, 10 170, 4 709, 110 113, 94 341, 15 772,- 1 911,1 351 297, 18 570,1.4,,,Kanton Zürich,TRUE,,,,,,,
Bezirk Affoltern,, 46 117,497,263,234, 4 013, 3 275,738,-26, 47 063,946,2.1,,,Bezirk Affoltern,TRUE,,,,,,,
   1 Aeugst am Albis,, 1 700,14,7,7,164,133,31,2, 1 740,40,2.4,,,   1 Aeugst am Albis,TRUE,,,,,,,
   2 Affoltern am Albis,, 10 630,113,81,32,841,762,79,-6, 10 735,105,1,,,   2 Affoltern am Albis,TRUE,,,,,,,
   3 Bonstetten,, 4 990,79,21,58,425,360,65,-3, 5 110,120,2.4,,,   3 Bonstetten,TRUE,,,,,,,
   4 Hausen am Albis,, 3 253,22,17,5,244,187,57,1, 3 316,63,1.9,,,   4 Hausen am Albis,TRUE,,,,,,,
   5 Hedingen,, 3 403,28,26,2,214,203,11,-3, 3 413,10,0.3,,,   5 Hedingen,TRUE,,,,,,,
   6 Kappel am Albis,,865,9,5,4,109,97,12,-,881,16,1.8,,,   6 Kappel am Albis,TRUE,,,,,,,
