"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geburtsort und Staatsangehörigkeit"

"Jahr;""Kanton (-) / Bezirk (>>) / Gemeinde (......)"";""Bevölkerungstyp"";Ständige und nichtständige Wohnbevölkerung"
"2010;""Schweiz"";""Ständige Wohnbevölkerung"";7870134"
"2010;""Schweiz"";""Nichtständige Wohnbevölkerung"";70835"
"2010;"">> Bezirk Affoltern"";""Ständige Wohnbevölkerung"";48096"
"2010;"">> Bezirk Affoltern"";""Nichtständige Wohnbevölkerung"";152"
"2010;"">> Bezirk Andelfingen"";""Ständige Wohnbevölkerung"";29505"
"2010;"">> Bezirk Andelfingen"";""Nichtständige Wohnbevölkerung"";121"
"2010;"">> Bezirk Bülach"";""Ständige Wohnbevölkerung"";131879"
"2010;"">> Bezirk Bülach"";""Nichtständige Wohnbevölkerung"";1002"
"2010;"">> Bezirk Dielsdorf"";""Ständige Wohnbevölkerung"";80090"
"2010;"">> Bezirk Dielsdorf"";""Nichtständige Wohnbevölkerung"";411"
"2010;"">> Bezirk Hinwil"";""Ständige Wohnbevölkerung"";87822"
"2010;"">> Bezirk Hinwil"";""Nichtständige Wohnbevölkerung"";282"
"2010;"">> Bezirk Horgen"";""Ständige Wohnbevölkerung"";115301"
"2010;"">> Bezirk Horgen"";""Nichtständige Wohnbevölkerung"";563"
"2010;"">> Bezirk Meilen"";""Ständige Wohnbevölkerung"";97034"
"2010;"">> Bezirk Meilen"";""Nichtständige Wohnbevölkerung"";335"
"2010;"">> Bezirk Pfäffikon"";""Ständige Wohnbevölkerung"";55768"
"2010;"">> Bezirk Pfäffikon"";""Nichtständige Wohnbevölkerung"";239"
"2010;"">> Bezirk Uster"";""Ständige Wohnbevölkerung"";120607"
"2010;"">> Bezirk Uster"";""Nichtständige Wohnbevölkerung"";913"
"2010;"">> Bezirk Winterthur"";""Ständige Wohnbevölkerung"";153562"
"2010;"">> Bezirk Winterthur"";""Nichtständige Wohnbevölkerung"";791"
"2010;"">> Bezirk Dietikon"";""Ständige Wohnbevölkerung"";80547"
"2010;"">> Bezirk Dietikon"";""Nichtständige Wohnbevölkerung"";560"
"2010;"">> Bezirk Zürich"";""Ständige Wohnbevölkerung"";372857"
"2010;"">> Bezirk Zürich"";""Nichtständige Wohnbevölkerung"";5503"
"2010;"">> Arrondissement administratif Jura bernois"";""Ständige Wohnbevölkerung"";51668"
"2010;"">> Arrondissement administratif Jura bernois"";""Nichtständige Wohnbevölkerung"";274"
"2010;"">> Verwaltungskreis Biel/Bienne"";""Ständige Wohnbevölkerung"";93859"
"2010;"">> Verwaltungskreis Biel/Bienne"";""Nichtständige Wohnbevölkerung"";570"
"2010;"">> Verwaltungskreis Seeland"";""Ständige Wohnbevölkerung"";68288"
"2010;"">> Verwaltungskreis Seeland"";""Nichtständige Wohnbevölkerung"";415"
"2010;"">> Verwaltungskreis Oberaargau"";""Ständige Wohnbevölkerung"";77181"
"2010;"">> Verwaltungskreis Oberaargau"";""Nichtständige Wohnbevölkerung"";372"
"2010;"">> Verwaltungskreis Emmental"";""Ständige Wohnbevölkerung"";93677"
"2010;"">> Verwaltungskreis Emmental"";""Nichtständige Wohnbevölkerung"";291"
"2010;"">> Verwaltungskreis Bern-Mittelland"";""Ständige Wohnbevölkerung"";388546"
"2010;"">> Verwaltungskreis Bern-Mittelland"";""Nichtständige Wohnbevölkerung"";2783"
"2010;"">> Verwaltungskreis Thun"";""Ständige Wohnbevölkerung"";104092"
"2010;"">> Verwaltungskreis Thun"";""Nichtständige Wohnbevölkerung"";260"
"2010;"">> Verwaltungskreis Obersimmental-Saanen"";""Ständige Wohnbevölkerung"";16810"
"2010;"">> Verwaltungskreis Obersimmental-Saanen"";""Nichtständige Wohnbevölkerung"";598"
"2010;"">> Verwaltungskreis Frutigen-Niedersimmental"";""Ständige Wohnbevölkerung"";39171"
"2010;"">> Verwaltungskreis Frutigen-Niedersimmental"";""Nichtständige Wohnbevölkerung"";257"
"2010;"">> Verwaltungskreis Interlaken-Oberhasli"";""Ständige Wohnbevölkerung"";46510"
"2010;"">> Verwaltungskreis Interlaken-Oberhasli"";""Nichtständige Wohnbevölkerung"";1021"
"2010;"">> Wahlkreis Luzern-Stadt"";""Ständige Wohnbevölkerung"";77491"
"2010;"">> Wahlkreis Luzern-Stadt"";""Nichtständige Wohnbevölkerung"";435"
"2010;"">> Wahlkreis Luzern-Land"";""Ständige Wohnbevölkerung"";95438"
"2010;"">> Wahlkreis Luzern-Land"";""Nichtständige Wohnbevölkerung"";573"
"2010;"">> Wahlkreis Hochdorf"";""Ständige Wohnbevölkerung"";66081"
"2010;"">> Wahlkreis Hochdorf"";""Nichtständige Wohnbevölkerung"";456"
"2010;"">> Wahlkreis Sursee"";""Ständige Wohnbevölkerung"";66624"
"2010;"">> Wahlkreis Sursee"";""Nichtständige Wohnbevölkerung"";336"
"2010;"">> Wahlkreis Willisau"";""Ständige Wohnbevölkerung"";49174"
"2010;"">> Wahlkreis Willisau"";""Nichtständige Wohnbevölkerung"";310"
"2010;"">> Wahlkreis Entlebuch"";""Ständige Wohnbevölkerung"";22802"
"2010;"">> Wahlkreis Entlebuch"";""Nichtständige Wohnbevölkerung"";158"
"2010;"">> Kanton Uri"";""Ständige Wohnbevölkerung"";35422"
"2010;"">> Kanton Uri"";""Nichtständige Wohnbevölkerung"";320"
"2010;"">> Bezirk Einsiedeln"";""Ständige Wohnbevölkerung"";14385"
"2010;"">> Bezirk Einsiedeln"";""Nichtständige Wohnbevölkerung"";69"
"2010;"">> Bezirk Gersau"";""Ständige Wohnbevölkerung"";2094"
"2010;"">> Bezirk Gersau"";""Nichtständige Wohnbevölkerung"";33"
"2010;"">> Bezirk Höfe"";""Ständige Wohnbevölkerung"";27336"
"2010;"">> Bezirk Höfe"";""Nichtständige Wohnbevölkerung"";268"
"2010;"">> Bezirk Küssnacht (SZ)"";""Ständige Wohnbevölkerung"";12224"
"2010;"">> Bezirk Küssnacht (SZ)"";""Nichtständige Wohnbevölkerung"";92"
"2010;"">> Bezirk March"";""Ständige Wohnbevölkerung"";38983"
"2010;"">> Bezirk March"";""Nichtständige Wohnbevölkerung"";265"
"2010;"">> Bezirk Schwyz"";""Ständige Wohnbevölkerung"";51708"
"2010;"">> Bezirk Schwyz"";""Nichtständige Wohnbevölkerung"";365"
"2010;"">> Kanton Obwalden"";""Ständige Wohnbevölkerung"";35585"
"2010;"">> Kanton Obwalden"";""Nichtständige Wohnbevölkerung"";398"
"2010;"">> Kanton Nidwalden"";""Ständige Wohnbevölkerung"";41024"
"2010;"">> Kanton Nidwalden"";""Nichtständige Wohnbevölkerung"";224"
"2010;"">> Kanton Glarus"";""Ständige Wohnbevölkerung"";38608"
"2010;"">> Kanton Glarus"";""Nichtständige Wohnbevölkerung"";556"
"2010;"">> Kanton Zug"";""Ständige Wohnbevölkerung"";113105"
"2010;"">> Kanton Zug"";""Nichtständige Wohnbevölkerung"";1210"
"2010;"">> District de la Broye"";""Ständige Wohnbevölkerung"";26525"
"2010;"">> District de la Broye"";""Nichtständige Wohnbevölkerung"";248"
"2010;"">> District de la Glâne"";""Ständige Wohnbevölkerung"";20708"
"2010;"">> District de la Glâne"";""Nichtständige Wohnbevölkerung"";85"
"2010;"">> District de la Gruyère"";""Ständige Wohnbevölkerung"";46415"
"2010;"">> District de la Gruyère"";""Nichtständige Wohnbevölkerung"";316"
"2010;"">> District de la Sarine"";""Ständige Wohnbevölkerung"";94849"
"2010;"">> District de la Sarine"";""Nichtständige Wohnbevölkerung"";947"
"2010;"">> Bezirk See / District du Lac"";""Ständige Wohnbevölkerung"";32911"
"2010;"">> Bezirk See / District du Lac"";""Nichtständige Wohnbevölkerung"";233"
"2010;"">> Bezirk Sense"";""Ständige Wohnbevölkerung"";41113"
"2010;"">> Bezirk Sense"";""Nichtständige Wohnbevölkerung"";73"
"2010;"">> District de la Veveyse"";""Ständige Wohnbevölkerung"";15972"
"2010;"">> District de la Veveyse"";""Nichtständige Wohnbevölkerung"";48"
"2010;"">> Bezirk Gäu"";""Ständige Wohnbevölkerung"";18135"
"2010;"">> Bezirk Gäu"";""Nichtständige Wohnbevölkerung"";141"
"2010;"">> Bezirk Thal"";""Ständige Wohnbevölkerung"";14216"
"2010;"">> Bezirk Thal"";""Nichtständige Wohnbevölkerung"";59"
"2010;"">> Bezirk Bucheggberg"";""Ständige Wohnbevölkerung"";7543"
"2010;"">> Bezirk Bucheggberg"";""Nichtständige Wohnbevölkerung"";33"
"2010;"">> Bezirk Dorneck"";""Ständige Wohnbevölkerung"";19517"
"2010;"">> Bezirk Dorneck"";""Nichtständige Wohnbevölkerung"";101"
"2010;"">> Bezirk Gösgen"";""Ständige Wohnbevölkerung"";23155"
"2010;"">> Bezirk Gösgen"";""Nichtständige Wohnbevölkerung"";147"
"2010;"">> Bezirk Wasseramt"";""Ständige Wohnbevölkerung"";48237"
"2010;"">> Bezirk Wasseramt"";""Nichtständige Wohnbevölkerung"";220"
"2010;"">> Bezirk Lebern"";""Ständige Wohnbevölkerung"";43228"
"2010;"">> Bezirk Lebern"";""Nichtständige Wohnbevölkerung"";168"
"2010;"">> Bezirk Olten"";""Ständige Wohnbevölkerung"";51240"
"2010;"">> Bezirk Olten"";""Nichtständige Wohnbevölkerung"";510"
"2010;"">> Bezirk Solothurn"";""Ständige Wohnbevölkerung"";16066"
"2010;"">> Bezirk Solothurn"";""Nichtständige Wohnbevölkerung"";98"
"2010;"">> Bezirk Thierstein"";""Ständige Wohnbevölkerung"";13947"
"2010;"">> Bezirk Thierstein"";""Nichtständige Wohnbevölkerung"";41"
"2010;"">> Kanton Basel-Stadt"";""Ständige Wohnbevölkerung"";184950"
"2010;"">> Kanton Basel-Stadt"";""Nichtständige Wohnbevölkerung"";2853"
"2010;"">> Bezirk Arlesheim"";""Ständige Wohnbevölkerung"";148996"
"2010;"">> Bezirk Arlesheim"";""Nichtständige Wohnbevölkerung"";665"
"2010;"">> Bezirk Laufen"";""Ständige Wohnbevölkerung"";18901"
"2010;"">> Bezirk Laufen"";""Nichtständige Wohnbevölkerung"";122"
"2010;"">> Bezirk Liestal"";""Ständige Wohnbevölkerung"";57229"
"2010;"">> Bezirk Liestal"";""Nichtständige Wohnbevölkerung"";377"
"2010;"">> Bezirk Sissach"";""Ständige Wohnbevölkerung"";33688"
"2010;"">> Bezirk Sissach"";""Nichtständige Wohnbevölkerung"";116"
"2010;"">> Bezirk Waldenburg"";""Ständige Wohnbevölkerung"";15590"
"2010;"">> Bezirk Waldenburg"";""Nichtständige Wohnbevölkerung"";66"
"2010;"">> Bezirk Oberklettgau"";""Ständige Wohnbevölkerung"";4045"
"2010;"">> Bezirk Oberklettgau"";""Nichtständige Wohnbevölkerung"";8"
"2010;"">> Bezirk Reiat"";""Ständige Wohnbevölkerung"";7946"
"2010;"">> Bezirk Reiat"";""Nichtständige Wohnbevölkerung"";68"
"2010;"">> Bezirk Schaffhausen"";""Ständige Wohnbevölkerung"";51457"
"2010;"">> Bezirk Schaffhausen"";""Nichtständige Wohnbevölkerung"";463"
"2010;"">> Bezirk Schleitheim"";""Ständige Wohnbevölkerung"";2947"
"2010;"">> Bezirk Schleitheim"";""Nichtständige Wohnbevölkerung"";48"
"2010;"">> Bezirk Stein"";""Ständige Wohnbevölkerung"";5222"
"2010;"">> Bezirk Stein"";""Nichtständige Wohnbevölkerung"";77"
"2010;"">> Bezirk Unterklettgau"";""Ständige Wohnbevölkerung"";4739"
"2010;"">> Bezirk Unterklettgau"";""Nichtständige Wohnbevölkerung"";21"
"2010;"">> Bezirk Hinterland"";""Ständige Wohnbevölkerung"";23577"
"2010;"">> Bezirk Hinterland"";""Nichtständige Wohnbevölkerung"";74"
"2010;"">> Bezirk Mittelland"";""Ständige Wohnbevölkerung"";16195"
"2010;"">> Bezirk Mittelland"";""Nichtständige Wohnbevölkerung"";35"
"2010;"">> Bezirk Vorderland"";""Ständige Wohnbevölkerung"";13245"
"2010;"">> Bezirk Vorderland"";""Nichtständige Wohnbevölkerung"";68"
"2010;"">> Kanton Appenzell Innerrhoden"";""Ständige Wohnbevölkerung"";15688"
"2010;"">> Kanton Appenzell Innerrhoden"";""Nichtständige Wohnbevölkerung"";41"
"2010;"">> Wahlkreis St. Gallen"";""Ständige Wohnbevölkerung"";117823"
"2010;"">> Wahlkreis St. Gallen"";""Nichtständige Wohnbevölkerung"";669"
"2010;"">> Wahlkreis Rorschach"";""Ständige Wohnbevölkerung"";41047"
"2010;"">> Wahlkreis Rorschach"";""Nichtständige Wohnbevölkerung"";166"
"2010;"">> Wahlkreis Rheintal"";""Ständige Wohnbevölkerung"";67509"
"2010;"">> Wahlkreis Rheintal"";""Nichtständige Wohnbevölkerung"";464"
"2010;"">> Wahlkreis Werdenberg"";""Ständige Wohnbevölkerung"";35644"
"2010;"">> Wahlkreis Werdenberg"";""Nichtständige Wohnbevölkerung"";240"
"2010;"">> Wahlkreis Sarganserland"";""Ständige Wohnbevölkerung"";37775"
"2010;"">> Wahlkreis Sarganserland"";""Nichtständige Wohnbevölkerung"";241"
"2010;"">> Wahlkreis See-Gaster"";""Ständige Wohnbevölkerung"";62499"
