year,cantonname,cantonno,typename,typeno,sum,sum2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100p
2010,Schweiz,0,perm,0,7870134,7940969,78031,79351,78793,77708,76746,76774,76943,75624,76637,77076,81863,81552,82878,84163,86677,86334,87747,89084,93283,95171,96146,95916,97690,96329,98900,100268,102894,103562,107052,107576,109133,106914,105935,106529,106297,106318,109432,110393,114281,118495,120508,124323,127707,129092,132442,133287,135525,131885,127131,123087,120047,116665,112578,109975,107046,102808,99816,96471,95807,91934,93965,92113,92851,90879,90003,85562,83772,80459,76417,71032,65110,63071,60596,57563,57108,55831,53666,50741,49211,46609,45134,41698,38773,35442,33332,30419,27111,24018,20733,18441,15045,10569,8089,6540,5002,3765,3071,2114,1413,905,1332
2010,Schweiz,0,nonperm,1,70835,7940969,1276,398,358,321,312,281,268,253,196,229,196,162,159,177,218,228,314,489,905,1223,1827,2260,2798,3213,3463,3388,3326,3124,2932,2723,2564,2228,2011,1871,1667,1524,1495,1338,1252,1193,1224,1221,1124,1162,1065,1013,1019,934,883,832,713,653,678,581,476,462,435,345,336,250,230,175,134,125,103,76,53,43,43,36,34,29,23,32,16,19,12,18,9,16,3,6,6,3,7,4,4,0,2,3,2,1,0,1,0,1,0,0,0,0,0
2010,Zuerich,1,perm,0,1373068,1383940,14878,14892,14508,14083,13634,13395,13267,12878,12903,12593,13246,13026,13164,13154,13415,13288,13225,13365,13706,14012,14368,14731,15266,16008,16977,17850,19118,19923,21432,21903,22973,22558,22194,21945,21882,21618,21700,21386,21474,22335,22603,22996,23350,23563,23652,23577,23632,22932,21803,20996,20164,19454,18576,18259,17805,17045,16562,15934,16212,15352,15687,15214,15298,15137,14974,14494,14205,13677,12990,12301,11075,10742,10291,9583,9753,9494,9124,8413,8098,7828,7624,7091,6503,6003,5647,5094,4390,3939,3443,2954,2458,1680,1287,1057,773,583,503,361,214,139,207
2010,Zuerich,1,nonperm,1,10872,1383940,144,61,64,52,46,51,44,45,33,32,29,30,28,24,24,28,40,60,101,120,198,236,335,450,504,497,546,523,437,411,435,380,352,301,270,257,270,224,227,201,228,225,178,210,181,178,187,149,145,146,114,98,110,93,72,66,79,47,55,36,33,14,22,19,11,7,9,3,5,9,5,3,5,5,1,3,2,2,2,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,Bern,2,perm,0,979802,986643,9097,9260,9200,9021,8762,8954,8913,8754,8799,8921,9535,9594,9770,9989,10404,10554,10709,10813,11339,11530,11628,11580,12107,11586,11790,11885,12132,12389,12569,12682,12676,12382,12347,12406,12343,12164,12742,12857,13426,14038,14435,15006,15433,15567,15724,15911,16217,16162,15616,15411,14981,14687,14406,13968,13997,13382,12971,12836,12626,12232,12658,12406,12723,12495,12427,11687,11433,10729,10402,9405,8399,8294,7976,7738,7743,7474,7333,7127,6900,6588,6254,5926,5593,5166,4961,4427,3963,3578,3063,2843,2291,1631,1296,1024,785,581,451,294,212,131,180
2010,Bern,2,nonperm,1,6841,986643,201,43,28,25,21,25,26,17,17,24,22,12,20,16,19,24,23,30,70,116,180,201,246,315,310,338,333,311,283,294,296,242,206,192,158,136,141,117,95,111,103,119,115,89,96,99,83,90,96,77,60,56,57,52,49,44,45,40,30,26,23,20,15,12,7,5,7,6,4,4,4,4,1,5,5,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2010,Luzern,3,perm,0,377610,379878,3893,3890,3928,3828,3840,3657,3710,3575,3770,3673,3949,4219,4131,4360,4598,4503,4491,4690,4913,4971,5149,5058,5302,5235,5262,5251,5445,5276,5516,5123,5234,4990,5091,5020,4898,4918,4801,4974,5366,5554,5594,5953,6041,6128,6290,6336,6623,6390,6118,5947,5784,5555,5414,5328,5031,4814,4685,4379,4424,4120,4260,4183,4109,3839,3816,3679,3645,3501,3248,3172,3076,2884,2815,2734,2773,2701,2501,2537,2346,2195,2088,1933,1768,1638,1510,1328,1180,1018,882,792,622,444,368,283,213,171,133,76,50,36,57
2010,Luzern,3,nonperm,1,2268,379878,56,7,10,10,10,12,6,11,8,5,5,4,9,3,7,8,12,13,31,22,51,73,104,93,102,99,81,93,69,73,66,67,56,63,40,54,54,41,43,46,48,44,45,52,47,42,32,38,32,33,27,29,25,30,12,18,15,13,14,11,10,5,7,3,7,4,0,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Uri,4,perm,0,35422,35742,347,354,347,335,348,345,356,344,366,357,401,394,416,400,419,418,417,430,452,440,482,460,432,477,482,439,455,405,429,413,438,420,416,434,416,425,469,477,468,471,518,530,543,508,572,563,578,528,549,505,527,539,527,488,527,469,479,451,481,448,432,419,431,401,401,414,393,371,368,319,321,266,306,261,236,284,232,249,255,213,221,197,179,174,185,155,158,146,107,108,67,62,42,34,29,23,8,13,6,6,6
2010,Uri,4,nonperm,1,320,35742,3,1,2,1,2,1,1,0,1,0,1,1,0,0,1,0,0,0,4,4,5,10,9,12,16,23,16,14,17,9,14,10,7,7,8,7,5,7,7,2,9,7,7,9,2,9,1,5,5,5,5,4,7,3,1,2,1,3,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
