espop.delete,statpop.delete
District de Moutier,Arrondissement administratif Jura bernois
District de la Neuveville,Canton de Genève
District de Courtelary,Kanton Appenzell Innerrhoden
Bezirk Steckborn,Kanton Basel-Stadt
Bezirk Diessenhofen,Kanton Glarus
Bezirk Bischofszell,Kanton Nidwalden
Amt Wangen,Kanton Obwalden
Amt Trachselwald,Kanton Uri
Amt Signau,Kanton Zug
Amt Seftigen,Verwaltungskreis Bern-Mittelland
Amt Schwarzenburg,Verwaltungskreis Biel/Bienne
Amt Saanen,Verwaltungskreis Emmental
Amt Obersimmental,Verwaltungskreis Frutigen-Niedersimmental
Amt Oberhasli,Verwaltungskreis Interlaken-Oberhasli
Amt Niedersimmental,Verwaltungskreis Oberaargau
Amt Nidau,Verwaltungskreis Obersimmental-Saanen
Amt Luzern,Verwaltungskreis Seeland
Amt Laupen,Wahlkreis Luzern-Land
Amt Konolfingen,Wahlkreis Luzern-Stadt
Amt Interlaken,
Amt Frutigen,
Amt Fraubrunnen,
Amt Erlach,
Amt Burgdorf,
Amt Büren,
Amt Biel,
Amt Bern,
Amt Aarwangen,
Amt Aarberg,
