Quarter,Bezirk Affoltern,Bezirk Bülach,Bezirk Dielsdorf,Bezirk Hinwil,Bezirk Horgen,Bezirk Meilen,Bezirk Pfäffikon,Bezirk Uster,Bezirk Winterthur,Bezirk Dietikon,Bezirk Zürich,Verwaltungskreis Biel/Bienne,Verwaltungskreis Seeland,Verwaltungskreis Oberaargau,Verwaltungskreis Emmental,Verwaltungskreis Bern-Mittelland,Verwaltungskreis Thun,Verwaltungskreis Interlaken-Oberhasli,Wahlkreis Luzern-Stadt,Wahlkreis Luzern-Land,Wahlkreis Hochdorf,Wahlkreis Sursee,Bezirk Höfe,Bezirk March,Kanton Obwalden,Kanton Nidwalden,Kanton Zug,District de la Gruyère,District de la Sarine,Kanton Basel-Stadt,Bezirk Arlesheim,Bezirk Liestal,Bezirk Schaffhausen,Wahlkreis St. Gallen,Wahlkreis Rorschach,Wahlkreis See-Gaster,Wahlkreis Wil,Bezirk Albula,Bezirk Imboden,Bezirk Maloja / Distretto di Maloggia,Bezirk Plessur,Bezirk Prättigau-Davos,Bezirk Surselva,Bezirk Aarau,Bezirk Baden,Bezirk Bremgarten,Bezirk Brugg,Bezirk Lenzburg,Bezirk Rheinfelden,Bezirk Zofingen,Distretto di Locarno,Distretto di Lugano,District d'Aigle,District de Lausanne,District de Lavaux-Oron,District de Morges,District de Nyon,District de l'Ouest lausannois,District de la Riviera-Pays-d'Enhaut,Bezirk Brig,District de Conthey,District d'Entremont,Bezirk Leuk,District de Martigny,District de Monthey,District de Sierre,District de Sion,Bezirk Visp,District de Boudry,District de la Chaux-de-Fonds,District de Neuchâtel,Canton de Genève,Schweiz
2001,87.86,88.69,98.07,92.44,80.88,80.84,82.84,82.41,87.16,89.3,74,86.45,95.79,91.42,114.36,86.78,97.17,78.93,76.79,86.61,84.35,81.86,73.75,94.09,76.91,59.37,81.01,78.37,85.74,83.14,88.38,86.13,88.63,85.88,95.63,79.72,91.05,87.07,79.34,63.79,70,79.67,93.6,97.12,89.36,93.67,104.46,94.88,80.62,91.72,72,69.62,58.66,67.65,73.96,68.21,67.16,86.32,68.31,77.64,88.88,54.2,74.07,85.68,73.77,76.31,80.75,73.73,76.82,92.31,65.6,59.91,82.07861111
2001.25,92.98,90.39,84.49,89.18,75.59,80.74,87.03,89.62,91.2,87.57,75.63,82.94,99.71,97.67,94.55,81.8,94.24,79.07,82.49,90.87,91.6,88.15,70.04,70.15,84.35,55.83,76.16,76.02,91.42,81.99,81.24,75.09,87.71,87.27,88.79,80.87,93.56,91.8,82.61,72.33,70.56,78.18,91.45,103.76,88,102.31,78.27,93.17,96.62,94.2,83.79,67.22,67.82,81.26,75.29,65.2,70.77,92.06,69.15,74.82,78.77,49.03,73.28,88.12,75.33,77.49,87.67,79.27,82.41,87.75,78.99,63.47,82.50305556
2001.5,83.77,88.22,87.95,83.43,74.75,78.63,91.23,88.55,87.35,93.01,81.09,84.4,87.95,91.74,82.53,86.75,92.26,78.5,79.09,82.21,95.63,97.46,78.93,77.04,80.46,61.36,75.35,69.67,94.52,83.7,84.48,77.4,81.05,93.95,93.55,93.08,101.51,87.75,98,70.5,67.08,82.6,97.29,102.11,91.87,89.36,96.67,89.88,72.25,104.55,74.94,71.62,68.67,73.43,77.6,73.36,68.51,83.1,69.96,85.48,87.15,47.04,70.5,96.9,74.46,80.46,69.02,81.49,91.61,94.67,73.69,62.01,82.89069444
2001.75,97.7,89.55,84.51,92.85,83.51,77.02,88.17,85.11,92.93,92.6,78.54,89.12,89.4,89.16,110.99,85.18,83.81,79.93,84.37,84.85,104.2,93.86,74.15,82.83,69.58,67.16,72.85,69.67,88.51,82.39,84.4,76.48,83.19,88.37,93.71,86.51,95.8,85.5,91.06,64.92,72.05,95.89,89.83,88.35,89.31,88.41,100.16,87.46,71.29,92.95,77.36,72.72,66.49,75.27,77.46,68.23,67.33,79.02,64.13,82.57,84.38,50.97,100.25,77.34,72.91,98.25,86.84,79.62,78.74,82.54,74.4,63.62,82.92472222
2002,91.11,88.99,85.28,87.07,74.14,79.8,92.29,87.25,90.63,92.45,73.63,84.07,95.41,82.59,91.08,87.76,93.7,73.59,78.48,83.91,96.13,104.73,71.4,90.46,77.3,66.11,76.69,75.57,90.12,77.22,87.09,76.63,84.51,95.68,81.49,78.28,92.3,86.54,84.24,60,75.25,92.68,83.83,87.52,85.74,87.69,93.34,91.19,75.5,93.43,80.59,68.91,58.11,81.93,73.94,78.97,70.86,88.68,70.8,88.53,78.31,51.31,83.79,76.97,68.14,74.52,77.99,81.81,77.95,90.95,87.8,64.54,82.04569444
2002.25,90.92,93.84,84.31,89.11,77.31,84.05,85.93,85.54,101.83,81.75,72.65,83.61,106.66,82.62,90.41,89.65,90.65,87.41,85.44,87.66,100.39,94.84,77.85,87.82,83.48,61.07,80.03,69.61,88.22,81.08,85.75,79.33,88.22,90.29,75.59,78.77,99.84,91.76,88.12,87.12,75.64,85.73,82.39,80.62,95.03,89.56,74.65,90.97,81.83,103.8,75.83,70.65,54.15,78.43,74.72,72.19,65.23,87.47,64.76,86.16,99.07,60.31,72.76,85.17,79.65,72.32,85.98,84.87,83.27,95.48,68.8,67.76,83.13583333
2002.5,89.86,88.08,88.27,82.57,79.57,76.89,82.95,83.51,90.47,90.28,75.71,79.73,91.52,81.49,94.3,86.45,95.16,76.79,82.18,87.81,92.86,89.04,83.37,75.88,83.13,74.76,77.66,64.03,83.86,83.04,89.59,83.22,81.79,94.23,85.5,92.32,90.28,91.82,90,73.69,91.85,77.68,90.84,80.96,86.49,86.8,76.74,87.88,70.54,89.21,76.41,72.84,63.99,70.31,77.39,78.52,67.97,87.46,74.69,84.57,79.97,65.31,82.14,87.91,70.68,73.68,76.48,81.71,80.58,92.69,74.45,64.69,82.04291667
2002.75,84.83,84.27,89.14,90.2,74.97,84.79,80.46,84.04,86.89,91.78,73.64,79.41,92.45,86.88,88.61,86.19,94.9,72.02,73.61,82.69,92.79,97.2,70.06,86.03,87.4,62.2,82.97,79.91,95.34,78.06,84.21,82.02,80.66,86.58,79.37,83.65,84.69,84.36,88,70.17,74.48,82.19,90.35,84.03,94.86,93.82,72.65,106.17,75.6,93.77,83.36,73.19,64.1,73.07,77.38,74.98,69.08,78.78,72.85,88.69,82,50.31,73.59,74.04,70.81,77,75.34,69.32,74.99,92.05,81.02,65.44,81.20486111
2003,94.69,86.8,90.34,88.68,82.76,79.84,85.48,86.49,87.93,94.4,78.47,82.91,95.16,90.45,95.45,84.61,95.27,76.93,82.86,87.35,91.79,91.03,74.49,93.05,78.43,62.14,78.53,76.26,90.78,84.76,81.6,81.8,82.11,91.44,76.61,83.59,106.1,85.08,91.56,73.76,72.06,89.47,87.47,90.92,90.72,87.19,73.14,92.66,81.03,93.03,84.19,69.2,62.65,72.57,77.98,76.08,70.75,85.29,70.8,81.98,81.33,56.1,68.98,87.73,74.76,72.63,78.49,82.29,85.8,93.79,74.13,67.21,82.69722222
2003.25,88.32,90.81,94.02,89.3,79.59,82.66,90.54,89.44,95.01,93.95,76.49,79.64,91.33,96.55,98.73,82.2,93.59,75.45,79.46,85.83,94.33,96.33,70.35,90.07,80.31,60.61,81.89,73.83,88.3,76.4,82.12,78.21,85.29,87.17,85.5,93.45,85.27,91.22,86.37,73.48,72.49,90.94,84.1,89.99,91.92,93.56,82.09,87.97,76.31,83.92,78.98,73.17,61.91,72.68,79.08,73.1,68.09,87.17,72.78,86.07,72.19,57.94,72.85,86.86,68.57,74.33,83.77,85.32,81.86,92.43,73.75,65.96,82.43833333
