Quarter,Bezirk Affoltern,Bezirk Andelfingen,Bezirk Bülach,Bezirk Dielsdorf,Bezirk Hinwil,Bezirk Horgen,Bezirk Meilen,Bezirk Pfäffikon,Bezirk Uster,Bezirk Winterthur,Bezirk Dietikon,Bezirk Zürich,Arrondissement administratif Jura bernois,Verwaltungskreis Biel/Bienne,Verwaltungskreis Seeland,Verwaltungskreis Oberaargau,Verwaltungskreis Emmental,Verwaltungskreis Bern-Mittelland,Verwaltungskreis Thun,Verwaltungskreis Interlaken-Oberhasli,Wahlkreis Luzern-Land,Wahlkreis Hochdorf,Wahlkreis Sursee,Bezirk March,Kanton Zug,District de la Gruyère,District de la Sarine,Bezirk See / District du Lac,Bezirk Dorneck,Bezirk Gösgen,Bezirk Wasseramt,Bezirk Lebern,Bezirk Olten,Kanton Basel-Stadt,Bezirk Arlesheim,Bezirk Liestal,Bezirk Sissach,Bezirk Schaffhausen,Bezirk Mittelland,Wahlkreis St. Gallen,Wahlkreis See-Gaster,Wahlkreis Toggenburg,Bezirk Aarau,Bezirk Baden,Bezirk Bremgarten,Bezirk Brugg,Bezirk Kulm,Bezirk Laufenburg,Bezirk Lenzburg,Bezirk Muri,Bezirk Rheinfelden,Bezirk Zofingen,Bezirk Zurzach,Bezirk Frauenfeld,Bezirk Weinfelden,Distretto di Locarno,Distretto di Lugano,District d'Aigle,District de la Broye-Vully,District du Gros-de-Vaud,District du Jura-Nord vaudois,District de Lausanne,District de Lavaux-Oron,District de Morges,District de Nyon,District de l'Ouest lausannois,District de la Riviera-Pays-d'Enhaut,District de Conthey,District de Martigny,District de Monthey,District de Sierre,District de Sion,District de Boudry,Canton de Genève,District de Delémont,Schweiz
2001,90.83,80.77,85.82,85.69,87.86,71.05,69.05,90.69,89.31,93.52,83.61,69.38,116.12,96.7,88.86,99.83,81.95,91.75,75.91,101.72,88.92,79,60.88,75.13,62.46,80.09,80.02,98.75,79.14,98.82,86.67,101.38,118.6,76.71,83.99,84.21,93.9,104.77,119.63,94.35,85.74,93.69,98.07,93.35,95.44,91.5,123.93,110.26,112.32,96.4,93.19,109.7,93.11,90.6,102.89,87.03,85.9,87.02,117.56,80.05,99.33,72.88,94.15,72.71,69.83,75.89,73.31,71.72,108.21,88.95,81.97,83.89,90.91,64.93,115.75,89.7336
2001.25,91.74,84.73,89.95,80.89,89.42,77,70.44,79.51,89.57,86.06,86.32,66.01,77.2,108.06,97.78,83.37,89.26,86.66,78.99,93.88,104.89,65.8,60.56,93.66,75.96,68.42,86.53,88.68,87.53,89.11,97.52,96.46,95.83,80.35,82.83,93.65,102.97,96.46,120.52,92.03,84.29,105.67,82.08,97.88,100.85,96.65,109.65,93.81,121.24,111.37,96.6,103.03,99.43,82.18,96.53,92.76,84.33,85.32,116.18,73.77,83.99,67.71,95.14,71.19,68.8,85.77,83.07,69.7,79.72,101.58,71.81,37.2,86.39,64.27,109.23,87.94386667
2001.5,89.46,84.94,86.2,85.61,89.16,77.01,67.37,85.61,83.23,94.31,87.02,76.26,108.65,94.21,92.32,94.42,90.23,93.76,71.97,89.83,100.03,71.89,56.14,79.34,71.93,79.07,77.04,87.03,82.27,110.98,90.6,84.03,119.16,81.02,85.59,82.7,99.87,97.67,83.31,107.83,85.42,100.15,86.9,96.64,93.66,91.36,115.65,116.33,105.59,99.62,95.55,110.62,95.47,84.53,113.84,86.2,88.82,84.33,100.01,61.56,96.24,74.81,86.71,76.99,71.11,73.39,86.61,71.3,74.04,86.01,79.89,105.11,79.6,67.57,113.01,88.5828
2001.75,93.06,94.93,90.73,89.84,92.34,73.45,74.89,79,89.49,88.7,78.19,80.02,110.72,98.05,101.55,100.01,94.02,93.35,83.52,99.66,92.54,58.39,60.81,87.76,72.27,69.42,76.42,83.42,86.72,94.43,100.17,99.38,113.67,78.74,83.3,91.54,90.54,91.63,103.42,95.81,87.51,100.89,91.74,91.13,87.45,98.96,96.96,98.31,108.35,93.36,92.97,101.97,84.01,83.69,98.18,88.64,79.4,78.18,114.16,76.45,83.05,70.3,90.46,76.18,72.99,76.89,82.29,89.5,86.33,86.57,74.01,99.21,92.73,65.74,113.02,88.63306667
2002,98.79,80.72,97.46,86.37,92.09,82.23,78.18,86.89,86.05,81.85,81.77,74.43,108.45,97.44,93.32,83.8,91.17,97.21,82.67,91.17,100.04,78.45,59.41,63.32,70.2,81.4,62.66,88.94,85.93,87.86,96.79,102.63,103.65,78.98,84.07,84.22,100.05,93.38,81.25,85.29,79.93,78.22,88.87,88.53,90.24,100.2,112.21,84.37,94.03,100.51,91.71,112.12,87.6,82.21,110.57,76.09,86.88,87.19,103.77,71.53,84.38,72.67,90.22,72.73,74.79,77.7,72.16,73.68,76.97,79.92,73.95,81.05,88.88,69.7,119.27,86.60573333
2002.25,103.69,98.32,89.48,78.3,86.35,81.38,73.14,87.78,88.93,83.88,86.23,78.04,97.96,96.91,92.79,90.71,90.01,87.23,67.93,105.5,88.69,72.35,64.33,83.13,75,76,78.74,86.64,79.69,81.66,93.36,88.49,91.58,72.71,84.68,89.38,89.64,95.66,86.57,88.2,83.41,96.38,91.06,88.02,88.49,94.34,91.9,93.46,91.51,87.27,85.18,97.87,110.67,83.14,81.95,68.53,88.89,82.62,113.72,63.44,72.1,80.18,91.01,70.9,73.16,79.08,81.8,89.35,77.56,84.91,81.11,117.08,80.24,72.28,85.95,85.99493333
2002.5,103.56,73.82,92.88,89.5,90.73,78.51,69.4,78.11,83.54,84.08,79.94,70.76,107.4,96.74,95.94,98.51,82.92,86.99,69.64,129.81,105.35,72.65,58.18,78.41,68.24,68.88,63.3,89.91,70.23,97.99,95.03,108.61,90.7,76.27,82.67,85.08,83.91,99.89,108.26,68.66,80.62,126.44,94.39,90.32,87.24,96.63,85.45,88.52,95.28,95.49,87.11,105.47,113.84,84.73,114.49,70.14,84.65,81.17,106.6,71.75,83.15,69.43,83.63,69.71,70.7,75.7,78.49,66.71,91.75,76.31,73.97,64.14,85.64,68.39,115.06,86.24146667
2002.75,85.32,87.82,87.37,85.81,93.07,75.47,75.15,85.03,89.54,91.56,86.16,73.45,100.2,97.6,91.9,89.76,82.43,89.56,80.86,100.17,99.06,68.06,60.31,81.16,76.17,65.94,71.31,71.87,85.67,81,89.93,96.66,100.53,76.37,82.21,82.96,94.35,86.36,93.55,86.38,81.45,108.66,83.84,90.32,94.48,94.01,88.95,98.04,121.64,101.44,86.81,104.81,86.66,89.91,98.77,77.79,77.32,77.81,114.65,72.73,81.26,68.02,84.29,69.64,78.78,83.73,83.89,58.1,87.26,82.84,76.11,62.77,82.01,68.92,125.26,85.88066667
2003,92.85,77.63,90.07,86.9,83.02,81.15,70.73,87.36,85.17,91.46,83.72,72,102.97,94.81,89.67,95.95,85.77,89.24,79.14,92.66,92.97,71.19,53.57,79.71,74.49,67.73,77.31,91.34,79.56,85.56,87.9,78.03,89.16,69.23,78.67,76.86,87.83,89.3,94.81,97.63,83.8,91.4,92.03,88.94,85.54,89.8,93.71,75.04,111.69,107.25,92.9,105.25,97.48,74.28,77.82,78.9,85.56,78.66,104.17,72.94,78.42,71.27,91.77,72.83,73.77,76.09,77.09,72.4,75.58,85.32,86.62,92.57,90.48,73.08,87.59,84.6288
2003.25,100.52,79.8,90.14,89,87.55,80.03,74.06,86.83,94.07,92.08,78.74,69.65,105.64,102.01,95.3,93.7,83.07,89.61,74.75,93.77,96.42,63.58,48.46,90.67,73.74,75.91,80.56,81.85,80.22,81.46,93.14,84.57,99.7,72.21,82.99,88.49,83.36,91.67,80.45,83.38,96.44,89.25,95.75,90.43,91.88,85.94,94.96,78.43,103.45,97.08,93.43,107.95,93.36,77.56,126.61,98.88,86.37,87.66,83.83,75.12,77.74,67.46,84.07,66.87,75.97,82.05,83.49,75.56,67.98,76.4,114.79,95.45,96.8,69.6,114.39,86.61533333
