year,month,201012,200512,200005,199305,198212,197709,196609,193908
1939,1,,,,,,,,0
1939,2,,,,,,,,0
1939,3,,,,,,,,0
1939,4,,,,,,,,0
1939,5,,,,,,,,0
1939,6,,,,,,,,0
1939,7,,,,,,,,0
1939,8,,,,,,,,100
1939,9,,,,,,,,100
1939,10,,,,,,,,100
1939,11,,,,,,,,100
1939,12,,,,,,,,100
1940,1,,,,,,,,100
1940,2,,,,,,,,100
1940,3,,,,,,,,100
1940,4,,,,,,,,100
1940,5,,,,,,,,99.8
1940,6,,,,,,,,99.8
1940,7,,,,,,,,99.8
1940,8,,,,,,,,99.8
1940,9,,,,,,,,99.8
1940,10,,,,,,,,99.8
1940,11,,,,,,,,99.8
1940,12,,,,,,,,99.8
1941,1,,,,,,,,99.8
1941,2,,,,,,,,99.8
1941,3,,,,,,,,99.8
1941,4,,,,,,,,99.8
1941,5,,,,,,,,99.8
1941,6,,,,,,,,99.8
1941,7,,,,,,,,99.8
1941,8,,,,,,,,99.8
1941,9,,,,,,,,99.8
1941,10,,,,,,,,99.8
1941,11,,,,,,,,99.8
1941,12,,,,,,,,99.8
1942,1,,,,,,,,99.8
1942,2,,,,,,,,99.8
1942,3,,,,,,,,99.8
1942,4,,,,,,,,99.8
1942,5,,,,,,,,100.1
1942,6,,,,,,,,100.1
1942,7,,,,,,,,100.1
1942,8,,,,,,,,100.1
1942,9,,,,,,,,100.1
1942,10,,,,,,,,100.1
1942,11,,,,,,,,100.1
1942,12,,,,,,,,100.1
1943,1,,,,,,,,100.1
1943,2,,,,,,,,100.1
1943,3,,,,,,,,100.1
1943,4,,,,,,,,100.1
1943,5,,,,,,,,100.3
1943,6,,,,,,,,100.3
1943,7,,,,,,,,100.3
1943,8,,,,,,,,100.3
1943,9,,,,,,,,100.3
1943,10,,,,,,,,100.3
1943,11,,,,,,,,100.3
1943,12,,,,,,,,100.3
1944,1,,,,,,,,100.3
1944,2,,,,,,,,100.3
1944,3,,,,,,,,100.3
1944,4,,,,,,,,100.3
1944,5,,,,,,,,101.2
1944,6,,,,,,,,101.2
1944,7,,,,,,,,101.2
1944,8,,,,,,,,101.2
1944,9,,,,,,,,101.2
1944,10,,,,,,,,101.2
1944,11,,,,,,,,101.2
1944,12,,,,,,,,101.2
1945,1,,,,,,,,101.2
1945,2,,,,,,,,101.2
1945,3,,,,,,,,101.2
1945,4,,,,,,,,101.2
1945,5,,,,,,,,101.6
1945,6,,,,,,,,101.6
1945,7,,,,,,,,101.6
1945,8,,,,,,,,101.6
1945,9,,,,,,,,101.6
1945,10,,,,,,,,101.6
1945,11,,,,,,,,101.6
1945,12,,,,,,,,101.6
1946,1,,,,,,,,101.6
1946,2,,,,,,,,101.6
1946,3,,,,,,,,101.6
1946,4,,,,,,,,101.6
1946,5,,,,,,,,102.3
1946,6,,,,,,,,102.3
1946,7,,,,,,,,102.3
1946,8,,,,,,,,102.3
1946,9,,,,,,,,102.3
1946,10,,,,,,,,102.3
1946,11,,,,,,,,102.3
1946,12,,,,,,,,102.3
1947,1,,,,,,,,102.3
1947,2,,,,,,,,102.3
1947,3,,,,,,,,102.3
1947,4,,,,,,,,102.3
1947,5,,,,,,,,103.3
1947,6,,,,,,,,103.3
1947,7,,,,,,,,103.3
1947,8,,,,,,,,103.3
1947,9,,,,,,,,103.3
1947,10,,,,,,,,103.3
1947,11,,,,,,,,103.3
1947,12,,,,,,,,103.3
1948,1,,,,,,,,103.3
1948,2,,,,,,,,103.3
1948,3,,,,,,,,103.3
1948,4,,,,,,,,103.3
1948,5,,,,,,,,104.8
1948,6,,,,,,,,104.8
1948,7,,,,,,,,104.8
1948,8,,,,,,,,104.8
1948,9,,,,,,,,104.8
1948,10,,,,,,,,104.8
1948,11,,,,,,,,104.8
1948,12,,,,,,,,104.8
1949,1,,,,,,,,104.8
1949,2,,,,,,,,104.8
1949,3,,,,,,,,104.8
1949,4,,,,,,,,104.8
1949,5,,,,,,,,106.9
1949,6,,,,,,,,106.9
1949,7,,,,,,,,106.9
1949,8,,,,,,,,106.9
1949,9,,,,,,,,106.9
1949,10,,,,,,,,106.9
1949,11,,,,,,,,106.9
1949,12,,,,,,,,106.9
1950,1,,,,,,,,106.9
1950,2,,,,,,,,106.9
1950,3,,,,,,,,106.9
1950,4,,,,,,,,106.9
1950,5,,,,,,,,108.8
1950,6,,,,,,,,108.8
1950,7,,,,,,,,108.8
1950,8,,,,,,,,108.8
1950,9,,,,,,,,108.8
1950,10,,,,,,,,108.8
1950,11,,,,,,,,108.8
1950,12,,,,,,,,108.8
1951,1,,,,,,,,108.8
1951,2,,,,,,,,108.8
1951,3,,,,,,,,108.8
1951,4,,,,,,,,108.8
1951,5,,,,,,,,113.4
1951,6,,,,,,,,113.4
1951,7,,,,,,,,113.4
1951,8,,,,,,,,113.4
1951,9,,,,,,,,113.4
1951,10,,,,,,,,113.4
1951,11,,,,,,,,116.8
1951,12,,,,,,,,116.8
1952,1,,,,,,,,116.8
1952,2,,,,,,,,116.8
1952,3,,,,,,,,116.8
1952,4,,,,,,,,116.8
1952,5,,,,,,,,118.7
1952,6,,,,,,,,118.7
