Gebäudestruktur: Gebäude nach Kanton und Jahr,,,,,,,
,,,,,,,
,1990,2000,2009,2010,2011,2012,2013
Schweiz,1292502,1462160,1623016,1642622,1656864,1670054,1683307
Zürich,173121,197607,215393,218587,219768,220757,221652
Bern / Berne,188476,205907,221934,223900,225271,226562,228553
Luzern,49615,57843,64421,65046,65774,66368,66924
Uri,7494,8433,9117,9149,9194,9258,9323
Schwyz,22241,26565,30285,30562,30764,31018,31263
Obwalden,6942,7767,8522,8639,8703,8783,8862
Nidwalden,5969,6890,7469,7510,7560,7615,7676
Glarus,11514,12544,13515,13545,13579,13591,13626
Zug,11958,14253,15506,15664,15823,15920,16051
Fribourg / Freiburg,44790,52910,63219,64375,65521,66499,67452
Solothurn,50694,58262,64399,65088,65471,65986,66468
Basel-Stadt,22406,22801,23465,23569,23612,23461,23387
Basel-Landschaft,49788,57735,63877,64456,64882,65340,65565
Schaffhausen,14621,16315,17832,17816,18010,18123,18295
Appenzell Ausserrhoden,13986,14949,15583,15654,15733,15792,15882
Appenzell Innerrhoden,4009,4344,4693,4794,4849,4888,4917
St. Gallen,85994,97221,107032,107902,108796,109629,110578
Graubünden / Grigioni / Grischun,48956,55087,61957,62522,63043,63650,64462
Aargau,107462,125278,141262,142613,143986,145353,146473
Thurgau,44465,52649,59326,59988,60729,61486,62225
Ticino,83032,91109,100981,102366,103227,104032,104522
Vaud,100271,111306,123224,125654,127090,128418,129624
Valais / Wallis,69914,81686,98173,100040,101394,102658,104047
Neuchâtel,24632,26774,29479,29684,29896,30139,30329
Genève,32694,36728,40533,41444,41977,42340,42614
Jura,17458,19197,21819,22055,22212,22388,22537
