BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1990,74,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1991,91,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1992,128,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1993,151,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1994,157,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1995,149,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1996,132,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1997,164,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1998,184,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],1999,198,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2000,203,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2001,152,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2002,162,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2003,192,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2004,205,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2005,253,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2006,155,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2007,133,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2008,170,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2009,185,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2010,196,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2011,186,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2012,160,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2013,189,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,188,Verkäufe EFH [Anz.],2014,176,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1990,10,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1991,7,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1992,5,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1993,8,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1994,11,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1995,6,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1996,12,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1997,13,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1998,9,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],1999,6,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2000,14,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2001,7,Anz.,Anzahl
0,Bezirk Affoltern,Bau und Immobilien,Immobilienhandel,Immobilienverkäufe,191,Verkäufe MFH [Anz.],2002,7,Anz.,Anzahl
